Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Albacete,31,29.0,43.6,29,319,2610,29.0,31,21,52,28,3,3,56,4,1.07,0.72,1.79,0.97,1.69
Almería,30,28.2,53.0,29,319,2610,29.0,56,37,93,48,8,9,78,2,1.93,1.28,3.21,1.66,2.93
Andorra,29,24.5,59.6,29,319,2610,29.0,34,23,57,32,2,3,80,2,1.17,0.79,1.97,1.1,1.9
Burgos,26,27.8,47.6,29,319,2610,29.0,32,22,54,25,7,7,76,1,1.1,0.76,1.86,0.86,1.62
Cádiz,29,25.6,46.9,29,319,2610,29.0,27,21,48,26,1,3,81,2,0.93,0.72,1.66,0.9,1.62
Castellón,29,28.4,55.2,29,319,2610,29.0,48,36,84,43,5,5,83,7,1.66,1.24,2.9,1.48,2.72
CD Mirandés,31,23.9,41.6,29,319,2610,29.0,28,22,50,24,4,4,94,7,0.97,0.76,1.72,0.83,1.59
Ceuta,33,28.9,50.3,29,319,2610,29.0,35,25,60,30,5,5,76,4,1.21,0.86,2.07,1.03,1.9
Córdoba,30,27.2,57.3,29,319,2610,29.0,38,24,62,34,4,6,76,3,1.31,0.83,2.14,1.17,2.0
Cultural Leonesa,31,27.1,47.3,29,319,2610,29.0,26,19,45,24,2,4,57,3,0.9,0.66,1.55,0.83,1.48
Dep La Coruña,27,26.7,51.4,29,319,2610,29.0,41,28,69,36,5,5,73,2,1.41,0.97,2.38,1.24,2.21
Eibar,25,28.6,50.4,29,319,2610,29.0,30,20,50,26,4,6,69,3,1.03,0.69,1.72,0.9,1.59
Granada,35,25.7,48.8,29,319,2610,29.0,32,20,52,30,2,2,66,5,1.1,0.69,1.79,1.03,1.72
Huesca,32,29.4,46.2,29,319,2610,29.0,25,17,42,22,3,3,67,3,0.86,0.59,1.45,0.76,1.34
Las Palmas,32,26.3,56.3,29,319,2610,29.0,38,34,72,36,2,3,61,5,1.31,1.17,2.48,1.24,2.41
Leganés,27,27.5,52.2,29,319,2610,29.0,28,14,42,25,3,5,82,4,0.97,0.48,1.45,0.86,1.34
Málaga,27,25.9,52.3,29,319,2610,29.0,44,22,66,40,4,6,71,5,1.52,0.76,2.28,1.38,2.14
Racing Sant,31,25.2,52.2,29,319,2610,29.0,60,43,103,57,3,3,81,5,2.07,1.48,3.55,1.97,3.45
Real Sociedad B,29,21.8,43.1,29,319,2610,29.0,40,22,62,37,3,4,95,3,1.38,0.76,2.14,1.28,2.03
Sporting Gijón,30,27.4,46.3,29,319,2610,29.0,38,24,62,29,9,9,71,6,1.31,0.83,2.14,1.0,1.83
Valladolid,34,25.5,50.3,29,319,2610,29.0,31,20,51,28,3,3,87,6,1.07,0.69,1.76,0.97,1.66
Zaragoza,37,27.9,48.8,29,319,2610,29.0,23,12,35,21,2,2,85,11,0.79,0.41,1.21,0.72,1.14
