Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Angers,28,26.5,57.1,25,275,2250,25.0,30,23,53,28,2,5,29,2,1.2,0.92,2.12,1.12,2.04
vs Auxerre,30,26.1,56.2,25,275,2250,25.0,33,23,56,32,1,2,64,4,1.32,0.92,2.24,1.28,2.2
vs Brest,26,26.3,57.7,25,275,2250,25.0,33,23,56,31,2,3,43,2,1.32,0.92,2.24,1.24,2.16
vs Le Havre,30,26.2,53.3,25,275,2250,25.0,30,23,53,26,4,5,55,3,1.2,0.92,2.12,1.04,1.96
vs Lens,27,26.1,50.8,25,275,2250,25.0,21,13,34,19,2,5,58,7,0.84,0.52,1.36,0.76,1.28
vs Lille,30,26.2,44.1,25,275,2250,25.0,31,20,51,29,2,3,47,3,1.24,0.8,2.04,1.16,1.96
vs Lorient,25,26.5,54.6,25,275,2250,25.0,37,24,61,33,4,6,53,4,1.48,0.96,2.44,1.32,2.28
vs Lyon,30,26.4,45.2,25,275,2250,25.0,25,20,45,24,1,3,56,6,1.0,0.8,1.8,0.96,1.76
vs Marseille,34,26.4,42.3,25,275,2250,25.0,31,20,51,27,4,4,40,4,1.24,0.8,2.04,1.08,1.88
vs Metz,32,26.0,51.0,25,275,2250,25.0,53,44,97,47,6,7,34,1,2.12,1.76,3.88,1.88,3.64
vs Monaco,31,26.5,47.4,25,275,2250,25.0,36,25,61,32,4,5,44,4,1.44,1.0,2.44,1.28,2.28
vs Nantes,33,26.7,56.7,25,275,2250,25.0,41,29,70,38,3,3,62,4,1.64,1.16,2.8,1.52,2.68
vs Nice,34,26.5,52.2,25,275,2250,25.0,48,32,80,41,7,9,52,2,1.92,1.28,3.2,1.64,2.92
vs Paris FC,31,26.2,47.4,25,275,2250,25.0,41,32,73,34,7,11,41,3,1.64,1.28,2.92,1.36,2.64
vs Paris Saint-Germain,25,26.3,31.4,25,275,2250,25.0,21,14,35,20,1,4,40,3,0.84,0.56,1.4,0.8,1.36
vs Rennes,33,26.1,47.7,25,275,2250,25.0,35,27,62,32,3,4,50,5,1.4,1.08,2.48,1.28,2.36
vs Strasbourg,30,26.4,47.3,25,275,2250,25.0,30,20,50,27,3,4,47,3,1.2,0.8,2.0,1.08,1.88
vs Toulouse,24,26.5,56.8,25,275,2250,25.0,29,15,44,25,4,4,52,3,1.16,0.6,1.76,1.0,1.6
