Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Augsburg,29,27.1,54.2,25,275,2250,25.0,41,25,66,35,6,7,44,2,1.64,1.0,2.64,1.4,2.4
vs Bayern Munich,28,26.5,33.2,25,275,2250,25.0,24,16,40,22,2,3,37,4,0.96,0.64,1.6,0.88,1.52
vs Dortmund,25,26.9,47.0,25,275,2250,25.0,26,18,44,23,3,3,40,3,1.04,0.72,1.76,0.92,1.64
vs Eintracht Frankfurt,28,27.2,46.4,25,275,2250,25.0,48,33,81,45,3,3,52,2,1.92,1.32,3.24,1.8,3.12
vs Freiburg,24,26.5,52.3,25,275,2250,25.0,41,30,71,41,0,1,60,3,1.64,1.2,2.84,1.64,2.84
vs Gladbach,28,26.8,54.1,25,275,2250,25.0,41,28,69,37,4,4,53,0,1.64,1.12,2.76,1.48,2.6
vs Hamburger SV,28,26.9,53.1,25,275,2250,25.0,36,28,64,32,4,6,56,2,1.44,1.12,2.56,1.28,2.4
vs Heidenheim,30,26.7,57.5,25,275,2250,25.0,56,44,100,51,5,6,47,1,2.24,1.76,4.0,2.04,3.8
vs Hoffenheim,26,26.8,45.8,25,275,2250,25.0,33,25,58,29,4,5,34,2,1.32,1.0,2.32,1.16,2.16
vs Köln,27,27.1,53.3,25,275,2250,25.0,43,31,74,40,3,5,58,4,1.72,1.24,2.96,1.6,2.84
vs Leverkusen,28,26.9,40.1,25,275,2250,25.0,31,21,52,28,3,3,65,3,1.24,0.84,2.08,1.12,1.96
vs Mainz 05,30,26.8,55.9,25,275,2250,25.0,39,29,68,37,2,2,46,1,1.56,1.16,2.72,1.48,2.64
vs RB Leipzig,29,27.0,45.8,25,275,2250,25.0,33,28,61,31,2,3,52,0,1.32,1.12,2.44,1.24,2.36
vs St Pauli,23,26.8,55.9,25,275,2250,25.0,40,29,69,38,2,4,48,2,1.6,1.16,2.76,1.52,2.68
vs Stuttgart,26,26.9,41.4,25,275,2250,25.0,33,17,50,26,7,8,40,3,1.32,0.68,2.0,1.04,1.72
vs Union Berlin,23,26.8,61.4,25,275,2250,25.0,41,30,71,35,6,6,54,3,1.64,1.2,2.84,1.4,2.6
vs Werder Bremen,25,27.1,48.0,25,275,2250,25.0,44,35,79,39,5,5,37,3,1.76,1.4,3.16,1.56,2.96
vs Wolfsburg,30,27.0,53.7,25,275,2250,25.0,51,36,87,44,7,11,44,0,2.04,1.44,3.48,1.76,3.2
