Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Alverca,32,26.2,55.4,25,275,2250,25.0,37,25,62,33,4,6,60,4,1.48,1.0,2.48,1.32,2.32
vs Arouca,30,26.1,49.5,25,275,2250,25.0,50,36,86,43,7,9,61,6,2.0,1.44,3.44,1.72,3.16
vs AVS Futebol,32,26.0,59.5,25,275,2250,25.0,57,41,98,51,6,7,63,2,2.28,1.64,3.92,2.04,3.68
vs Benfica,35,26.0,40.9,25,275,2250,25.0,15,9,24,14,1,2,75,5,0.6,0.36,0.96,0.56,0.92
vs Braga,27,26.0,36.8,25,275,2250,25.0,24,19,43,22,2,4,64,1,0.96,0.76,1.72,0.88,1.64
vs Casa Pia,32,26.2,57.3,25,275,2250,25.0,43,26,69,35,8,9,63,1,1.72,1.04,2.76,1.4,2.44
vs Estoril,26,26.1,47.3,25,275,2250,25.0,42,24,66,36,6,6,52,2,1.68,0.96,2.64,1.44,2.4
vs Estrela,37,26.1,51.8,25,275,2250,25.0,41,20,61,33,8,9,64,6,1.64,0.8,2.44,1.32,2.12
vs Famalicão,24,26.2,48.7,25,275,2250,25.0,20,11,31,16,4,5,56,3,0.8,0.44,1.24,0.64,1.08
vs Gil Vicente FC,27,26.4,50.2,25,275,2250,25.0,24,15,39,21,3,5,63,4,0.96,0.6,1.56,0.84,1.44
vs Moreirense,28,26.1,50.4,25,275,2250,25.0,35,21,56,25,10,11,51,0,1.4,0.84,2.24,1.0,1.84
vs Nacional,27,26.0,54.9,25,275,2250,25.0,37,26,63,33,4,7,62,5,1.48,1.04,2.52,1.32,2.36
vs Porto,30,26.2,44.3,25,275,2250,25.0,9,4,13,9,0,1,73,2,0.36,0.16,0.52,0.36,0.52
vs Rio Ave,34,26.2,53.4,25,275,2250,25.0,42,34,76,40,2,2,60,3,1.68,1.36,3.04,1.6,2.96
vs Santa Clara,31,26.2,51.4,25,275,2250,25.0,30,21,51,25,5,6,74,1,1.2,0.84,2.04,1.0,1.84
vs Sporting CP,31,26.1,39.2,25,275,2250,25.0,14,9,23,12,2,2,69,8,0.56,0.36,0.92,0.48,0.84
vs Tondela,30,26.0,58.2,25,275,2250,25.0,38,23,61,32,6,7,57,5,1.52,0.92,2.44,1.28,2.2
vs Vitória Guimarães,31,26.2,49.9,25,275,2250,25.0,35,24,59,32,3,4,75,2,1.4,0.96,2.36,1.28,2.24
