Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Avellino,34,27.0,50.0,29,319,2610,29.0,44,25,69,39,5,5,65,2,1.52,0.86,2.38,1.34,2.21
vs Bari,38,27.1,51.8,29,319,2610,29.0,43,28,71,38,5,5,78,5,1.48,0.97,2.45,1.31,2.28
vs Carrarese,27,27.1,49.4,29,319,2610,29.0,39,25,64,34,5,6,76,5,1.34,0.86,2.21,1.17,2.03
vs Catanzaro,27,26.5,46.6,29,319,2610,29.0,33,20,53,28,5,5,73,4,1.14,0.69,1.83,0.97,1.66
vs Cesena,27,27.1,51.1,29,319,2610,29.0,41,30,71,38,3,4,53,3,1.41,1.03,2.45,1.31,2.34
vs Empoli,30,27.0,52.5,29,319,2610,29.0,41,32,73,36,5,5,63,3,1.41,1.1,2.52,1.24,2.34
vs FC Südtirol,30,27.0,59.7,29,319,2610,29.0,29,22,51,25,4,4,41,0,1.0,0.76,1.76,0.86,1.62
vs Frosinone,28,27.3,50.7,29,319,2610,29.0,27,19,46,26,1,4,62,2,0.93,0.66,1.59,0.9,1.55
vs Juve Stabia,32,27.1,46.3,29,319,2610,29.0,33,22,55,29,4,4,62,5,1.14,0.76,1.9,1.0,1.76
vs Mantova,37,27.1,42.0,29,319,2610,29.0,39,28,67,38,1,2,83,4,1.34,0.97,2.31,1.31,2.28
vs Modena,26,27.1,48.8,29,319,2610,29.0,24,16,40,22,2,3,69,3,0.83,0.55,1.38,0.76,1.31
vs Monza,27,26.9,46.2,29,319,2610,29.0,24,10,34,20,4,5,56,2,0.83,0.34,1.17,0.69,1.03
vs Padova,27,27.1,51.7,29,319,2610,29.0,36,26,62,31,5,6,66,1,1.24,0.9,2.14,1.07,1.97
vs Palermo,24,27.2,51.6,29,319,2610,29.0,20,14,34,19,1,2,66,1,0.69,0.48,1.17,0.66,1.14
vs Pescara,39,27.0,51.0,29,319,2610,29.0,54,38,92,47,7,9,81,1,1.86,1.31,3.17,1.62,2.93
vs Reggiana,33,26.9,57.7,29,319,2610,29.0,42,24,66,39,3,4,58,6,1.45,0.83,2.28,1.34,2.17
vs Sampdoria,35,27.1,49.5,29,319,2610,29.0,39,30,69,38,1,1,62,5,1.34,1.03,2.38,1.31,2.34
vs Spezia,34,27.0,51.6,29,319,2610,29.0,39,28,67,37,2,2,78,6,1.34,0.97,2.31,1.28,2.24
vs Venezia,27,26.9,36.9,29,319,2610,29.0,25,18,43,25,0,0,74,6,0.86,0.62,1.48,0.86,1.48
vs Virtus Entella,31,27.1,54.2,29,319,2610,29.0,40,26,66,36,4,4,46,0,1.38,0.9,2.28,1.24,2.14
