Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Anderlecht,29,25.6,46.9,28,308,2520,28.0,35,21,56,30,5,5,77,1,1.25,0.75,2.0,1.07,1.82
vs Antwerp,32,25.3,52.3,28,308,2520,28.0,29,22,51,27,2,3,54,6,1.04,0.79,1.82,0.96,1.75
vs Cercle Brugge,28,25.5,52.9,28,308,2520,28.0,41,28,69,37,4,4,50,3,1.46,1.0,2.46,1.32,2.32
vs Charleroi,32,25.4,51.3,28,308,2520,28.0,37,24,61,28,9,9,48,2,1.32,0.86,2.18,1.0,1.86
vs Club Brugge,29,25.4,36.7,28,308,2520,28.0,33,22,55,31,2,4,72,3,1.18,0.79,1.96,1.11,1.89
vs Dender,29,25.2,52.8,28,308,2520,28.0,46,36,82,42,4,6,39,0,1.64,1.29,2.93,1.5,2.79
vs Genk,25,25.3,38.8,28,308,2520,28.0,41,26,67,38,3,3,67,6,1.46,0.93,2.39,1.36,2.29
vs Gent,31,25.3,49.0,28,308,2520,28.0,41,30,71,39,2,3,59,0,1.46,1.07,2.54,1.39,2.46
vs La Louvière,27,25.3,62.8,28,308,2520,28.0,30,21,51,25,5,7,46,2,1.07,0.75,1.82,0.89,1.64
vs Mechelen,30,25.4,50.0,28,308,2520,28.0,31,20,51,23,8,9,49,3,1.11,0.71,1.82,0.82,1.54
vs OH Leuven,27,25.1,54.7,28,308,2520,28.0,42,27,69,36,6,7,71,1,1.5,0.96,2.46,1.29,2.25
vs Sint-Truiden,24,25.3,45.5,28,308,2520,28.0,30,22,52,28,2,2,68,7,1.07,0.79,1.86,1.0,1.79
vs Standard Liège,30,25.3,56.1,28,308,2520,28.0,32,26,58,32,0,0,52,1,1.14,0.93,2.07,1.14,2.07
vs Union SG,30,25.4,46.2,28,308,2520,28.0,16,7,23,12,4,4,72,5,0.57,0.25,0.82,0.43,0.68
vs Westerlo,30,25.5,51.4,28,308,2520,28.0,36,28,64,36,0,1,54,0,1.29,1.0,2.29,1.29,2.29
vs Zulte Waregem,25,25.4,52.1,28,308,2520,28.0,44,34,78,41,3,4,61,3,1.57,1.21,2.79,1.46,2.68
