Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Alavés,25,27.9,49.3,27,297,2430,27.0,37,21,58,33,4,4,54,4,1.37,0.78,2.15,1.22,2.0
vs Athletic Club,27,27.5,51.2,27,297,2430,27.0,36,21,57,33,3,4,56,3,1.33,0.78,2.11,1.22,2.0
vs Atlético Madrid,28,27.8,44.9,27,297,2430,27.0,25,18,43,24,1,2,54,0,0.93,0.67,1.59,0.89,1.56
vs Barcelona,27,27.7,30.6,27,297,2430,27.0,26,21,47,23,3,4,62,7,0.96,0.78,1.74,0.85,1.63
vs Celta Vigo,29,27.9,49.5,27,297,2430,27.0,29,19,48,26,3,8,69,7,1.07,0.7,1.78,0.96,1.67
vs Elche,32,27.7,40.9,27,297,2430,27.0,41,32,73,36,5,5,62,1,1.52,1.19,2.7,1.33,2.52
vs Espanyol,23,27.6,57.3,27,297,2430,27.0,39,26,65,34,5,5,64,2,1.44,0.96,2.41,1.26,2.22
vs Getafe,32,27.7,59.8,27,297,2430,27.0,27,21,48,26,1,1,58,4,1.0,0.78,1.78,0.96,1.74
vs Girona,32,27.4,50.2,27,297,2430,27.0,42,28,70,37,5,6,49,2,1.56,1.04,2.59,1.37,2.41
vs Levante,30,27.4,58.2,27,297,2430,27.0,43,35,78,41,2,3,63,3,1.59,1.3,2.89,1.52,2.81
vs Mallorca,26,27.6,55.9,27,297,2430,27.0,42,29,71,37,5,6,51,8,1.56,1.07,2.63,1.37,2.44
vs Osasuna,23,27.7,55.0,27,297,2430,27.0,32,21,53,26,6,6,65,3,1.19,0.78,1.96,0.96,1.74
vs Oviedo,30,27.8,56.0,27,297,2430,27.0,44,25,69,40,4,6,39,3,1.63,0.93,2.56,1.48,2.41
vs Rayo Vallecano,26,27.7,46.1,27,297,2430,27.0,32,21,53,27,5,5,56,4,1.19,0.78,1.96,1.0,1.78
vs Real Betis,28,27.8,50.1,27,297,2430,27.0,33,28,61,32,1,4,69,3,1.22,1.04,2.26,1.19,2.22
vs Real Madrid,30,27.8,40.1,27,297,2430,27.0,23,17,40,19,4,4,69,10,0.85,0.63,1.48,0.7,1.33
vs Real Sociedad,32,27.8,50.3,27,297,2430,27.0,40,29,69,35,5,5,64,3,1.48,1.07,2.56,1.3,2.37
vs Sevilla,33,27.8,46.3,27,297,2430,27.0,42,26,68,35,7,9,58,3,1.56,0.96,2.52,1.3,2.26
vs Valencia,26,27.6,50.7,27,297,2430,27.0,39,23,62,33,6,7,66,7,1.44,0.85,2.3,1.22,2.07
vs Villarreal,29,27.4,56.4,27,297,2430,27.0,32,21,53,26,6,7,55,3,1.19,0.78,1.96,0.96,1.74
