Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Birmingham City,32,27.2,54.3,37,407,3330,37.0,46,30,76,44,2,3,72,5,1.24,0.81,2.05,1.19,2.0
Blackburn Rovers,36,27.1,50.2,37,407,3330,37.0,34,25,59,32,2,2,79,1,0.92,0.68,1.59,0.86,1.54
Bristol City,30,26.7,49.6,37,407,3330,37.0,47,34,81,47,0,1,66,1,1.27,0.92,2.19,1.27,2.19
Charlton Athletic,32,27.5,42.8,37,407,3330,37.0,34,21,55,33,1,2,80,1,0.92,0.57,1.49,0.89,1.46
Coventry City,27,26.8,54.3,37,407,3330,37.0,75,44,119,72,3,3,60,3,2.03,1.19,3.22,1.95,3.14
Derby County,34,27.7,43.8,37,407,3330,37.0,51,34,85,47,4,4,88,3,1.38,0.92,2.3,1.27,2.19
Hull City,32,27.1,45.6,37,407,3330,37.0,57,44,101,54,3,4,92,0,1.54,1.19,2.73,1.46,2.65
Ipswich Town,29,27.3,56.4,36,396,3240,36.0,58,33,91,53,5,6,67,0,1.61,0.92,2.53,1.47,2.39
Leicester City,32,27.0,51.0,37,407,3330,37.0,49,40,89,47,2,4,69,4,1.32,1.08,2.41,1.27,2.35
Middlesbrough,33,26.7,59.2,37,407,3330,37.0,55,43,98,53,2,2,56,1,1.49,1.16,2.65,1.43,2.59
Millwall,32,26.3,46.9,37,407,3330,37.0,47,35,82,47,0,2,71,2,1.27,0.95,2.22,1.27,2.22
Norwich City,35,25.3,52.4,36,396,3240,36.0,47,30,77,46,1,1,62,1,1.31,0.83,2.14,1.28,2.11
Oxford United,35,26.6,40.1,37,407,3330,37.0,33,23,56,33,0,0,60,1,0.89,0.62,1.51,0.89,1.51
Portsmouth,37,27.2,51.4,36,396,3240,36.0,35,21,56,34,1,2,62,1,0.97,0.58,1.56,0.94,1.53
Preston North End,30,27.1,45.5,37,407,3330,37.0,41,33,74,40,1,1,74,3,1.11,0.89,2.0,1.08,1.97
QPR,30,26.2,45.7,37,407,3330,37.0,42,27,69,40,2,2,58,1,1.14,0.73,1.86,1.08,1.81
Sheffield United,34,26.0,51.7,37,407,3330,37.0,50,37,87,48,2,3,59,5,1.35,1.0,2.35,1.3,2.3
Sheffield Weds,39,27.2,45.3,37,407,3330,37.0,23,13,36,23,0,1,59,3,0.62,0.35,0.97,0.62,0.97
Southampton,36,26.0,57.6,36,396,3240,36.0,58,38,96,57,1,3,68,1,1.61,1.06,2.67,1.58,2.64
Stoke City,28,25.9,52.4,37,407,3330,37.0,40,29,69,39,1,1,79,4,1.08,0.78,1.86,1.05,1.84
Swansea City,26,26.3,55.2,37,407,3330,37.0,43,33,76,42,1,1,73,1,1.16,0.89,2.05,1.14,2.03
Watford,34,25.2,51.4,36,396,3240,36.0,45,29,74,43,2,4,72,3,1.25,0.81,2.06,1.19,2.0
West Brom,32,26.7,50.9,37,407,3330,37.0,35,28,63,35,0,0,64,3,0.95,0.76,1.7,0.95,1.7
Wrexham,29,28.0,48.1,36,396,3240,36.0,51,38,89,48,3,4,60,1,1.42,1.06,2.47,1.33,2.39
