Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Albirex Niigata,36,28.0,54.2,38,418,3420,38.0,36,24,60,33,3,3,39,1,0.95,0.63,1.58,0.87,1.5
Avispa Fukuoka,31,27.6,46.5,38,418,3420,38.0,32,23,55,28,4,4,53,3,0.84,0.61,1.45,0.74,1.34
Cerezo Osaka,29,27.2,55.3,38,418,3420,38.0,58,38,96,55,3,5,42,1,1.53,1.0,2.53,1.45,2.45
Fagiano Okayama,33,27.4,42.0,38,418,3420,38.0,34,27,61,33,1,1,42,1,0.89,0.71,1.61,0.87,1.58
FC Tokyo,35,27.6,51.2,38,418,3420,38.0,40,27,67,34,6,8,53,0,1.05,0.71,1.76,0.89,1.61
Gamba Osaka,29,28.4,52.9,38,418,3420,38.0,53,36,89,50,3,3,39,3,1.39,0.95,2.34,1.32,2.26
Grampus,30,29.0,47.3,38,418,3420,38.0,44,29,73,38,6,6,48,2,1.16,0.76,1.92,1.0,1.76
Kashima Antlers,27,27.4,52.0,38,418,3420,38.0,56,41,97,51,5,7,46,0,1.47,1.08,2.55,1.34,2.42
Kashiwa Reysol,32,27.1,60.2,38,418,3420,38.0,58,48,106,56,2,4,44,0,1.53,1.26,2.79,1.47,2.74
Kawasaki Frontale,35,27.7,50.9,38,418,3420,38.0,66,41,107,63,3,4,50,3,1.74,1.08,2.82,1.66,2.74
Kyoto Sanga,30,27.6,48.2,38,418,3420,38.0,60,43,103,55,5,7,62,2,1.58,1.13,2.71,1.45,2.58
Machida Zelvia,25,27.9,44.7,38,418,3420,38.0,50,34,84,47,3,3,51,0,1.32,0.89,2.21,1.24,2.13
Sanfrecce Hiroshima,28,28.1,52.7,38,418,3420,38.0,46,28,74,41,5,6,32,1,1.21,0.74,1.95,1.08,1.82
Shimizu S-Pulse,35,27.7,51.2,38,418,3420,38.0,37,26,63,31,6,10,47,2,0.97,0.68,1.66,0.82,1.5
Shonan Bellmare,35,27.2,49.9,38,418,3420,38.0,35,25,60,34,1,1,45,2,0.92,0.66,1.58,0.89,1.55
Tokyo Verdy,30,25.9,46.8,38,418,3420,38.0,23,19,42,22,1,1,51,3,0.61,0.5,1.11,0.58,1.08
Urawa Reds,33,28.7,51.8,38,418,3420,38.0,45,31,76,45,0,0,36,1,1.18,0.82,2.0,1.18,2.0
Vissel Kobe,30,29.9,53.4,38,418,3420,38.0,43,33,76,42,1,3,32,0,1.13,0.87,2.0,1.11,1.97
Yokohama F. Marinos,35,27.9,48.4,38,418,3420,38.0,45,33,78,41,4,5,70,1,1.18,0.87,2.05,1.08,1.95
Yokohama FC,34,28.2,41.1,38,418,3420,38.0,27,18,45,27,0,1,48,3,0.71,0.47,1.18,0.71,1.18
