Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Avellino,34,27.2,50.0,29,319,2610,29.0,29,22,51,28,1,1,72,6,1.0,0.76,1.76,0.97,1.72
Bari,38,27.5,48.2,29,319,2610,29.0,25,18,43,23,2,3,58,2,0.86,0.62,1.48,0.79,1.41
Carrarese,27,26.5,50.6,29,319,2610,29.0,34,24,58,30,4,4,71,1,1.17,0.83,2.0,1.03,1.86
Catanzaro,27,27.9,53.4,29,319,2610,29.0,43,28,71,40,3,4,65,2,1.48,0.97,2.45,1.38,2.34
Cesena,27,26.9,48.9,29,319,2610,29.0,35,23,58,31,4,5,61,2,1.21,0.79,2.0,1.07,1.86
Empoli,30,24.9,47.5,29,319,2610,29.0,36,27,63,35,1,1,62,5,1.24,0.93,2.17,1.21,2.14
FC Südtirol,30,28.2,40.3,29,319,2610,29.0,30,19,49,28,2,2,62,3,1.03,0.66,1.69,0.97,1.62
Frosinone,28,24.0,49.3,29,319,2610,29.0,55,42,97,52,3,3,70,4,1.9,1.45,3.34,1.79,3.24
Juve Stabia,32,25.7,53.7,29,319,2610,29.0,32,18,50,28,4,5,75,4,1.1,0.62,1.72,0.97,1.59
Mantova,37,26.2,58.0,29,319,2610,29.0,30,16,46,25,5,8,71,2,1.03,0.55,1.59,0.86,1.41
Modena,26,27.9,51.2,29,319,2610,29.0,34,21,55,27,7,9,62,2,1.17,0.72,1.9,0.93,1.66
Monza,27,28.4,53.8,29,319,2610,29.0,46,30,76,45,1,1,63,4,1.59,1.03,2.62,1.55,2.59
Padova,27,28.9,48.3,29,319,2610,29.0,30,19,49,26,4,4,75,2,1.03,0.66,1.69,0.9,1.55
Palermo,24,29.1,48.4,29,319,2610,29.0,47,35,82,42,5,5,62,4,1.62,1.21,2.83,1.45,2.66
Pescara,39,27.1,49.0,29,319,2610,29.0,37,27,64,36,1,1,64,3,1.28,0.93,2.21,1.24,2.17
Reggiana,33,26.0,42.3,29,319,2610,29.0,28,18,46,26,2,2,63,1,0.97,0.62,1.59,0.9,1.52
Sampdoria,35,27.4,50.5,29,319,2610,29.0,29,19,48,24,5,6,68,3,1.0,0.66,1.66,0.83,1.48
Spezia,34,26.6,48.4,29,319,2610,29.0,28,20,48,27,1,2,71,7,0.97,0.69,1.66,0.93,1.62
Venezia,27,25.4,63.1,29,319,2610,29.0,57,37,94,48,9,11,52,3,1.97,1.28,3.24,1.66,2.93
Virtus Entella,31,28.3,45.8,29,319,2610,29.0,27,18,45,24,3,3,65,4,0.93,0.62,1.55,0.83,1.45
