Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Athletico Paranaense,23,27.2,50.8,4,44,360,4.0,4,3,7,3,1,2,7,0,1.0,0.75,1.75,0.75,1.5
Atlético Mineiro,21,29.6,50.0,4,44,360,4.0,5,4,9,5,0,0,6,1,1.25,1.0,2.25,1.25,2.25
Bahia,22,28.9,40.3,3,33,270,3.0,4,2,6,3,1,1,10,2,1.33,0.67,2.0,1.0,1.67
Botafogo (RJ),20,27.6,51.7,3,33,270,3.0,7,6,13,7,0,0,7,0,2.33,2.0,4.33,2.33,4.33
Chapecoense,21,29.8,39.3,3,33,270,3.0,8,4,12,7,1,1,5,0,2.67,1.33,4.0,2.33,3.67
Corinthians,24,28.8,53.8,4,44,360,4.0,5,3,8,5,0,0,14,0,1.25,0.75,2.0,1.25,2.0
Coritiba,23,28.7,38.0,4,44,360,4.0,5,3,8,5,0,0,8,1,1.25,0.75,2.0,1.25,2.0
Cruzeiro,21,29.2,53.5,4,44,360,4.0,4,2,6,3,1,1,10,1,1.0,0.5,1.5,0.75,1.25
Flamengo,18,30.2,60.0,3,33,270,3.0,4,3,7,3,1,1,8,1,1.33,1.0,2.33,1.0,2.0
Fluminense,23,30.0,55.8,4,44,360,4.0,5,2,7,5,0,0,13,1,1.25,0.5,1.75,1.25,1.75
Grêmio,24,29.2,49.3,4,44,360,4.0,8,5,13,7,1,1,10,1,2.0,1.25,3.25,1.75,3.0
Internacional,22,29.2,57.0,4,44,360,4.0,3,2,5,3,0,0,8,0,0.75,0.5,1.25,0.75,1.25
Mirassol,24,30.3,55.0,4,44,360,4.0,7,5,12,7,0,0,10,1,1.75,1.25,3.0,1.75,3.0
Palmeiras,23,27.0,45.3,4,44,360,4.0,12,9,21,11,1,1,7,0,3.0,2.25,5.25,2.75,5.0
RB Bragantino,22,26.7,49.8,4,44,360,4.0,3,1,4,3,0,1,18,2,0.75,0.25,1.0,0.75,1.0
Remo,24,29.6,44.3,4,44,360,4.0,6,4,10,6,0,0,13,0,1.5,1.0,2.5,1.5,2.5
Santos,28,27.8,49.4,5,55,450,5.0,8,3,11,7,1,1,15,0,1.6,0.6,2.2,1.4,2.0
São Paulo,24,29.8,51.5,4,44,360,4.0,6,3,9,4,2,3,7,0,1.5,0.75,2.25,1.0,1.75
Vasco da Gama,24,26.9,60.3,4,44,360,4.0,3,2,5,3,0,0,7,0,0.75,0.5,1.25,0.75,1.25
Vitória,23,28.7,42.0,3,33,270,3.0,4,4,8,4,0,1,9,0,1.33,1.33,2.67,1.33,2.67
