Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs América,30,27.9,43.1,27,297,2430,27.0,28,21,49,26,2,2,62,3,1.04,0.78,1.81,0.96,1.74
vs Atlas,31,27.6,55.8,27,297,2430,27.0,49,33,82,42,7,11,83,4,1.81,1.22,3.04,1.56,2.78
vs Atlético San Luis,34,27.9,52.2,27,297,2430,27.0,42,29,71,37,5,6,66,3,1.56,1.07,2.63,1.37,2.44
vs Cruz Azul,29,28.0,45.1,27,297,2430,27.0,28,19,47,26,2,2,60,8,1.04,0.7,1.74,0.96,1.67
vs FC Juárez,28,28.0,50.4,26,286,2340,26.0,42,31,73,39,3,5,63,6,1.62,1.19,2.81,1.5,2.69
vs Guadalajara,30,27.9,44.7,26,286,2340,26.0,31,15,46,25,6,8,65,2,1.19,0.58,1.77,0.96,1.54
vs León,35,28.0,48.3,26,286,2340,26.0,46,32,78,42,4,6,55,4,1.77,1.23,3.0,1.62,2.85
vs Mazatlán,37,27.8,57.4,27,297,2430,27.0,48,28,76,38,10,11,64,1,1.78,1.04,2.81,1.41,2.44
vs Monterrey,32,27.8,42.5,27,297,2430,27.0,37,30,67,35,2,3,67,4,1.37,1.11,2.48,1.3,2.41
vs Necaxa,33,27.9,50.3,27,297,2430,27.0,48,37,85,42,6,8,56,4,1.78,1.37,3.15,1.56,2.93
vs Pachuca,33,27.6,49.1,27,297,2430,27.0,28,18,46,24,4,4,71,8,1.04,0.67,1.7,0.89,1.56
vs Puebla,37,28.1,52.1,27,297,2430,27.0,53,36,89,43,10,12,48,1,1.96,1.33,3.3,1.59,2.93
vs Querétaro,41,27.9,63.5,26,286,2340,26.0,44,28,72,39,5,6,58,8,1.69,1.08,2.77,1.5,2.58
vs Santos Laguna,32,27.8,55.4,27,297,2430,27.0,52,34,86,47,5,7,74,2,1.93,1.26,3.19,1.74,3.0
vs Tijuana,30,27.9,52.6,27,297,2430,27.0,34,22,56,31,3,4,61,5,1.26,0.81,2.07,1.15,1.96
vs Toluca,33,27.9,44.3,27,297,2430,27.0,22,12,34,18,4,6,71,5,0.81,0.44,1.26,0.67,1.11
vs UANL,28,27.9,43.6,27,297,2430,27.0,26,19,45,24,2,6,78,12,0.96,0.7,1.67,0.89,1.59
vs UNAM,32,27.9,49.1,27,297,2430,27.0,34,23,57,31,3,5,49,1,1.26,0.85,2.11,1.15,2.0
