Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Ajax,33,25.2,57.3,26,286,2340,26.0,46,39,85,45,1,1,43,1,1.77,1.5,3.27,1.73,3.23
AZ Alkmaar,31,23.9,52.5,26,286,2340,26.0,41,28,69,37,4,8,59,1,1.58,1.08,2.65,1.42,2.5
Excelsior,30,24.6,46.3,26,286,2340,26.0,27,16,43,24,3,5,38,3,1.04,0.62,1.65,0.92,1.54
Feyenoord,33,25.7,54.5,26,286,2340,26.0,58,41,99,55,3,3,42,4,2.23,1.58,3.81,2.12,3.69
Fortuna Sittard,29,27.4,45.4,26,286,2340,26.0,39,29,68,36,3,3,56,1,1.5,1.12,2.62,1.38,2.5
Go Ahead Eagles,28,25.8,49.9,26,286,2340,26.0,37,25,62,36,1,2,43,4,1.42,0.96,2.38,1.38,2.35
Groningen,24,24.5,50.8,26,286,2340,26.0,35,25,60,32,3,3,46,2,1.35,0.96,2.31,1.23,2.19
Heerenveen,28,25.1,50.8,26,286,2340,26.0,42,31,73,39,3,3,42,2,1.62,1.19,2.81,1.5,2.69
Heracles Almelo,30,26.9,43.5,26,286,2340,26.0,32,25,57,29,3,3,51,2,1.23,0.96,2.19,1.12,2.08
NAC Breda,29,26.5,48.3,26,286,2340,26.0,27,19,46,24,3,4,47,6,1.04,0.73,1.77,0.92,1.65
NEC Nijmegen,31,27.0,57.8,26,286,2340,26.0,62,45,107,58,4,6,48,3,2.38,1.73,4.12,2.23,3.96
PSV,26,26.1,61.3,26,286,2340,26.0,73,60,133,70,3,3,39,1,2.81,2.31,5.12,2.69,5.0
Sparta Rotterdam,29,26.6,47.4,26,286,2340,26.0,33,22,55,30,3,3,50,2,1.27,0.85,2.12,1.15,2.0
Telstar,28,25.8,44.2,26,286,2340,26.0,34,25,59,34,0,2,33,2,1.31,0.96,2.27,1.31,2.27
Twente,26,26.5,54.5,26,286,2340,26.0,44,27,71,36,8,8,38,3,1.69,1.04,2.73,1.38,2.42
Utrecht,30,26.6,47.6,26,286,2340,26.0,38,29,67,37,1,1,37,1,1.46,1.12,2.58,1.42,2.54
Volendam,31,25.7,44.4,26,286,2340,26.0,29,22,51,27,2,2,38,1,1.12,0.85,1.96,1.04,1.88
Zwolle,28,25.3,44.3,26,286,2340,26.0,35,30,65,35,0,0,48,5,1.35,1.15,2.5,1.35,2.5
