Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
vs Atlanta Utd,18,26.0,46.0,3,33,270,3.0,7,6,13,7,0,0,5,0,2.33,2.0,4.33,2.33,4.33
vs Austin FC,18,28.6,53.3,3,33,270,3.0,5,4,9,5,0,0,6,0,1.67,1.33,3.0,1.67,3.0
vs CF Montréal,21,25.9,60.0,3,33,270,3.0,8,4,12,7,1,1,3,1,2.67,1.33,4.0,2.33,3.67
vs Charlotte,19,27.8,47.3,3,33,270,3.0,4,2,6,4,0,0,5,1,1.33,0.67,2.0,1.33,2.0
vs Chicago Fire,21,26.8,49.3,3,33,270,3.0,2,1,3,2,0,0,8,0,0.67,0.33,1.0,0.67,1.0
vs Colorado Rapids,20,28.0,45.3,3,33,270,3.0,3,2,5,3,0,0,7,2,1.0,0.67,1.67,1.0,1.67
vs Columbus Crew,17,26.3,46.0,3,33,270,3.0,5,4,9,5,0,0,6,0,1.67,1.33,3.0,1.67,3.0
vs D.C. United,18,27.2,57.0,3,33,270,3.0,3,2,5,3,0,0,8,1,1.0,0.67,1.67,1.0,1.67
vs FC Cincinnati,19,27.6,44.7,3,33,270,3.0,2,1,3,2,0,0,6,0,0.67,0.33,1.0,0.67,1.0
vs FC Dallas,18,28.4,55.7,3,33,270,3.0,3,2,5,3,0,0,7,1,1.0,0.67,1.67,1.0,1.67
vs Houston Dynamo,18,28.1,64.0,2,22,180,2.0,3,2,5,3,0,0,5,0,1.5,1.0,2.5,1.5,2.5
vs Inter Miami,15,27.3,35.0,3,33,270,3.0,6,5,11,6,0,0,7,1,2.0,1.67,3.67,2.0,3.67
vs LA Galaxy,20,27.1,51.7,3,33,270,3.0,5,3,8,4,1,1,7,0,1.67,1.0,2.67,1.33,2.33
vs LAFC,17,27.6,45.3,3,33,270,3.0,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0
vs Minnesota Utd,19,28.0,56.7,3,33,270,3.0,5,4,9,5,0,0,2,0,1.67,1.33,3.0,1.67,3.0
vs Nashville SC,19,26.6,45.3,3,33,270,3.0,2,2,4,2,0,0,5,0,0.67,0.67,1.33,0.67,1.33
vs NE Revolution,20,25.8,60.0,2,22,180,2.0,5,2,7,5,0,0,2,0,2.5,1.0,3.5,2.5,3.5
vs NY Red Bulls,20,25.7,38.7,3,33,270,3.0,4,1,5,3,1,1,5,0,1.33,0.33,1.67,1.0,1.33
vs NYCFC,18,26.0,37.0,3,33,270,3.0,2,1,3,1,1,1,7,3,0.67,0.33,1.0,0.33,0.67
vs Orlando City,20,26.2,61.3,3,33,270,3.0,11,7,18,10,1,1,5,0,3.67,2.33,6.0,3.33,5.67
vs Philadelphia Union,21,26.9,50.3,3,33,270,3.0,4,3,7,4,0,0,6,0,1.33,1.0,2.33,1.33,2.33
vs Portland Timbers,18,26.0,54.3,3,33,270,3.0,8,6,14,8,0,0,6,0,2.67,2.0,4.67,2.67,4.67
vs Real Salt Lake,20,27.7,60.7,3,33,270,3.0,4,3,7,4,0,0,5,0,1.33,1.0,2.33,1.33,2.33
vs San Diego FC,19,25.3,33.0,3,33,270,3.0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
vs Seattle Sounders,19,25.4,52.7,3,33,270,3.0,2,2,4,2,0,0,8,0,0.67,0.67,1.33,0.67,1.33
vs SJ Earthquakes,18,25.5,53.3,3,33,270,3.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
vs Sporting KC,17,26.5,56.3,3,33,270,3.0,6,4,10,6,0,1,7,0,2.0,1.33,3.33,2.0,3.33
vs St. Louis City,18,28.2,50.3,3,33,270,3.0,4,4,8,4,0,0,5,0,1.33,1.33,2.67,1.33,2.67
vs Toronto FC,19,26.9,54.0,3,33,270,3.0,6,3,9,5,1,1,4,0,2.0,1.0,3.0,1.67,2.67
vs Vancouver W'caps,19,26.5,42.0,3,33,270,3.0,1,1,2,1,0,0,6,0,0.33,0.33,0.67,0.33,0.67
