Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
Arsenal,24,26.7,56.7,30,330,2700,30.0,55,41,96,52,3,3,40,0,1.83,1.37,3.2,1.73,3.1
Aston Villa,30,28.4,53.7,29,319,2610,29.0,37,28,65,37,0,0,45,1,1.28,0.97,2.24,1.28,2.24
Bournemouth,26,25.7,49.8,29,319,2610,29.0,44,26,70,41,3,4,69,1,1.52,0.9,2.41,1.41,2.31
Brentford,24,25.9,47.2,29,319,2610,29.0,43,27,70,37,6,8,56,1,1.48,0.93,2.41,1.28,2.21
Brighton,28,26.5,52.8,29,319,2610,29.0,37,22,59,34,3,5,72,0,1.28,0.76,2.03,1.17,1.93
Burnley,26,27.8,41.5,29,319,2610,29.0,29,22,51,27,2,2,50,2,1.0,0.76,1.76,0.93,1.69
Chelsea,26,24.8,58.7,29,319,2610,29.0,52,35,87,45,7,7,73,7,1.79,1.21,3.0,1.55,2.76
Crystal Palace,28,26.9,45.4,29,319,2610,29.0,32,20,52,26,6,6,62,2,1.1,0.69,1.79,0.9,1.59
Everton,22,28.0,44.2,29,319,2610,29.0,32,25,57,30,2,2,55,4,1.1,0.86,1.97,1.03,1.9
Fulham,24,28.9,51.7,29,319,2610,29.0,36,24,60,33,3,3,60,0,1.24,0.83,2.07,1.14,1.97
Leeds United,24,27.3,45.5,29,319,2610,29.0,37,19,56,33,4,5,46,0,1.28,0.66,1.93,1.14,1.79
Liverpool,23,27.3,60.3,29,319,2610,29.0,46,32,78,45,1,2,44,1,1.59,1.1,2.69,1.55,2.66
Manchester City,27,26.0,59.8,29,319,2610,29.0,56,45,101,53,3,4,54,0,1.93,1.55,3.48,1.83,3.38
Manchester Utd,27,26.7,53.6,29,319,2610,29.0,49,36,85,46,3,5,43,1,1.69,1.24,2.93,1.59,2.83
Newcastle United,25,27.6,53.0,29,319,2610,29.0,42,23,65,36,6,6,51,3,1.45,0.79,2.24,1.24,2.03
Nottingham Forest,31,26.5,47.8,29,319,2610,29.0,28,18,46,26,2,2,44,1,0.97,0.62,1.59,0.9,1.52
Sunderland,29,25.8,43.6,29,319,2610,29.0,27,17,44,23,4,5,58,2,0.93,0.59,1.52,0.79,1.38
Tottenham Hotspur,27,26.0,50.1,29,319,2610,29.0,38,30,68,38,0,0,76,4,1.31,1.03,2.34,1.31,2.34
West Ham United,32,27.0,42.8,29,319,2610,29.0,33,21,54,30,3,3,51,3,1.14,0.72,1.86,1.03,1.76
Wolves,29,26.6,42.9,30,330,2700,30.0,21,14,35,19,2,4,65,3,0.7,0.47,1.17,0.63,1.1
